ΟΔΟΣ,ΠΕΡΙΟΧΗ,Δ.Ο.Υ.
ΑΒΑΝΤΩΝ,ΘΗΣΕΙΟΥ,ΣΤ'ΑΘΗΝΩΝ
ΑΒΑΝΤΩΝ,ΝΕΑΠΟΛΗ,ΑΧΑΡΝΩΝ
ΑΒΑΡΙΚΙΩΤΗ,ΑΜΠΕΛΟΚΗΠΩΝ,ΨΥΧΙΚΟΥ
ΑΒΑΡΙΚΙΩΤΗ,ΓΚΥΖΗ,ΙΓ'ΑΘΗΝΩΝ
ΑΒΑΡΙΚΟΥ,ΒΡΙΛΗΣΣΙΩΝ,ΧΑΛΑΝΔΡΙΟΥ
ΑΒΔΗΡΩΝ,ΑΘΗΝΩΝΚΟΛΩΝΟΣ,Α'ΑΘΗΝΩΝ
ΑΒΔΗΡΩΝ,ΑΝΩΛΙΟΣΙΩΝ,ΑΓΙΩΝΑΝΑΡΓΥΡΩΝ
ΑΒΔΗΡΩΝ,ΝΕΑΖΩΗΣ,Α'ΠΕΡΙΣΤΕΡΙΟΥ
ΑΒΕΡΩΦ,ΑΓΑΝΑΡΓΥΡΩΝ-ΚΟΚΚΙΝΟΠ,ΑΓΙΩΝΑΝΑΡΓΥΡΩΝ
ΑΒΕΡΩΦ,ΑΓΒΑΡΒΑΡΑΣ,ΝΙΚΑΙΑΣ
ΑΒΕΡΩΦ,ΑΘΗΝΩΝ,Δ'ΑΘΗΝΩΝ
ΑΒΕΡΩΦ,ΑΙΓΑΛΕΩ-ΙΕΡΑΠΟΛΗΣ,ΑΙΓΑΛΕΩ
ΑΒΕΡΩΦ,ΑΝΩΛΟΦΟΥ,Α'ΠΕΡΙΣΤΕΡΙΟΥ
ΑΒΕΡΩΦ,ΑΡΓΥΡΟΥΠΟΛΗΣ,ΗΛΙΟΥΠΟΛΗΣ
ΑΒΕΡΩΦ,ΚΑΜΑΤΕΡΟΥ,ΑΓΙΩΝΑΝΑΡΓΥΡΩΝ
ΑΒΕΡΩΦ,ΚΟΡΥΔΑΛΛΟΥ,ΝΙΚΑΙΑΣ
ΑΒΕΡΩΦ,ΜΕΤΑΜ/ΣΗΣ(ΚΑΝΑΠΙΤΣΑ),ΝΕΑΣΙΩΝΙΑΣ
ΑΒΕΡΩΦ,ΜΟΣΧΑΤΟΥ,ΜΟΣΧΑΤΟΥ
ΑΒΕΡΩΦ,ΠΕΡΑΜΑ,Ε'ΠΕΙΡΑΙΑ
ΑΒΕΡΩΦ,ΠΕΡΙΣΣΟΥ,ΝΕΑΣΙΩΝΙΑΣ
ΑΒΕΡΩΦ,ΡΕΝΤΗ,ΜΟΣΧΑΤΟΥ
ΑΒΕΡΩΦ,ΧΑΪΔΑΡΙΟΥ-ΑΣΤΥΘΕΑ,ΑΙΓΑΛΕΩ
ΑΒΕΡΩΦ,ΧΑΛΑΝΔΡΙΟΥ,ΧΑΛΑΝΔΡΙΟΥ
ΑΒΕΡΩΦ,ΜΙΧΕΛΗ,ΑΓΙΩΝΑΝΑΡΓΥΡΩΝ
ΑΒΕΡΩΦ47-ΤΕΛΟΣΚΑΙ52-ΤΕΛΟΣ,ΑΓΙΟΥΔΗΜΗΤΡΙΟΥ,ΑΓΙΟΥΔΗΜΗΤΡΙΟΥ
ΑΒΕΡΩΦ1-45ΚΑΙ2-50,ΔΑΦΝΗΣ,ΑΓΙΟΥΔΗΜΗΤΡΙΟΥ
ΑΒΕΡΩΦΓ,ΚΕΡΑΤΣΙΝΙ,Ε'ΠΕΙΡΑΙΑ
